Date,Close,High,Low,Open,Volume
3/3/1981,1.526779771,1.530596903,1.5191459,1.530596903,104625
3/4/1981,1.538230419,1.542047255,1.52677942,1.52677942,447525
3/5/1981,1.538230419,1.545864288,1.52677942,1.538230419,136350
3/6/1981,1.534413338,1.542047206,1.526779371,1.53823037,345600
3/9/1981,1.522963166,1.526780004,1.496244518,1.526780004,286875
3/10/1981,1.549681783,1.55349862,1.526779875,1.526779875,245700
3/11/1981,1.545864582,1.557315485,1.545864582,1.549681615,391500
3/12/1981,1.549681783,1.557315654,1.538230878,1.545864749,151875
3/13/1981,1.572583556,1.572583556,1.553498682,1.553498682,255150
3/16/1981,1.595484495,1.603118461,1.572582891,1.572582891,544725
3/17/1981,1.610752583,1.626020321,1.603118713,1.603118713,360450
3/18/1981,1.641287208,1.664188802,1.60693462,1.61075165,525825
3/19/1981,1.645104766,1.652738929,1.633654062,1.64128793,1138725
3/20/1981,1.633654237,1.664189712,1.633654237,1.645104942,579825
3/23/1981,1.610752583,1.641288157,1.60693555,1.633654288,410400
3/24/1981,1.614569426,1.641288164,1.614569426,1.614569426,671625
3/25/1981,1.618386745,1.618386745,1.599301971,1.614569712,259875
3/26/1981,1.610752583,1.622203288,1.603118713,1.618386452,347625
3/27/1981,1.591668129,1.610753003,1.591668129,1.610753003,281475
3/30/1981,1.610752583,1.618386452,1.591667713,1.591667713,79650
3/31/1981,1.622204304,1.641289185,1.618387465,1.618387465,170775
4/1/1981,1.648922205,1.656556075,1.610752757,1.622203463,271350
4/2/1981,1.626019955,1.656555523,1.618386087,1.648921655,203175
4/3/1981,1.618386745,1.637471422,1.618386745,1.626020616,283500
4/6/1981,1.610752583,1.626020321,1.610752583,1.618386452,378000
4/7/1981,1.618386745,1.633654585,1.610752875,1.610752875,118800
4/8/1981,1.622204304,1.633655311,1.61457043,1.618387465,161325
4/9/1981,1.641287208,1.652738201,1.622202349,1.622202349,297675
4/10/1981,1.648922205,1.668007076,1.641288335,1.641288335,221400
4/13/1981,1.633654237,1.648921975,1.62602027,1.648921975,205200
4/14/1981,1.641287208,1.648921072,1.633653343,1.633653343,364500
4/15/1981,1.652739048,1.664189654,1.63365418,1.641288048,197100
4/16/1981,1.67182374,1.67945761,1.652739262,1.652739262,159975
4/20/1981,1.67945683,1.67945683,1.675640094,1.675640094,494775
4/21/1981,1.683274865,1.690908735,1.679457733,1.679457733,106650
4/22/1981,1.67945683,1.694724759,1.67945683,1.68327396,69525
4/23/1981,1.683274865,1.69472567,1.679457733,1.679457733,239625
4/24/1981,1.709993958,1.725261704,1.679458271,1.683275404,228825
4/27/1981,1.702358842,1.713809642,1.702358842,1.709992709,110025
4/28/1981,1.725260854,1.732894723,1.706176182,1.706176182,175500
4/29/1981,1.694725752,1.713810428,1.648922332,1.713810428,184275
4/30/1981,1.664190769,1.687092587,1.664190769,1.687092587,86400
5/1/1981,1.641287208,1.664188802,1.637470177,1.664188802,110700
5/4/1981,1.629836798,1.633653928,1.60311836,1.633653928,164700
5/5/1981,1.610752583,1.614569419,1.591667713,1.614569419,276075
5/6/1981,1.580217838,1.606936394,1.572583965,1.606936394,230175
5/7/1981,1.587851167,1.587851167,1.561132423,1.580217296,192375
5/8/1981,1.606935978,1.618386883,1.591668137,1.591668137,301050
5/11/1981,1.603118777,1.614569483,1.599301744,1.606935614,182925
5/12/1981,1.580217838,1.587851711,1.572583965,1.587851711,141075
5/13/1981,1.599301815,1.599301815,1.576400107,1.580217141,200475
5/14/1981,1.610752583,1.610752583,1.595484746,1.599301681,128250
5/15/1981,1.603118777,1.606935614,1.591667777,1.606935614,233550
5/18/1981,1.629836798,1.633653928,1.595484394,1.60311836,363825
5/19/1981,1.694725752,1.694725752,1.641288461,1.641288461,217350
5/20/1981,1.67945683,1.709992491,1.675640094,1.694724759,839700
5/21/1981,1.675641179,1.68327505,1.675641179,1.679457918,97200
5/22/1981,1.732895136,1.732895136,1.679457844,1.679457844,164025
5/26/1981,1.740528941,1.763430946,1.729078332,1.732895071,344250
5/27/1981,1.732895136,1.748162877,1.725261265,1.740529007,243675
5/28/1981,1.744345665,1.748162403,1.732894665,1.732894665,168075
5/29/1981,1.755797744,1.759614484,1.748163477,1.748163477,178875
6/1/1981,1.771065354,1.7863331,1.771065354,1.771065354,580500
6/2/1981,1.774882555,1.786333564,1.774882555,1.774882555,112050
6/3/1981,1.748162866,1.763431,1.744346127,1.763431,55350
6/4/1981,1.732895136,1.75961388,1.709993524,1.748162877,90450
6/5/1981,1.744345665,1.759613402,1.732894665,1.732894665,83025
6/8/1981,1.744345665,1.763430533,1.736711796,1.744345665,120150
6/9/1981,1.713809967,1.717626901,1.702359164,1.717626901,145800
6/10/1981,1.751980186,1.767247928,1.709993696,1.713810632,599400
6/11/1981,1.832135677,1.832135677,1.763430658,1.763430658,1383075
6/12/1981,1.855036139,1.866487133,1.824500682,1.832134546,953100
6/15/1981,1.8703053,1.923742588,1.8703053,1.8703053,327375
6/16/1981,1.87793982,1.893207763,1.87412308,1.87412308,158625
6/17/1981,1.862672567,1.877940317,1.847404817,1.877940317,252450
6/18/1981,1.816868067,1.858854748,1.816868067,1.858854748,167400
6/19/1981,1.809233904,1.816867773,1.793966165,1.816867773,170775
6/22/1981,1.778698921,1.809234407,1.755797307,1.809234407,1666575
6/23/1981,1.782516122,1.793967129,1.759614502,1.778699382,133650
6/24/1981,1.793965936,1.793965936,1.778698199,1.782514937,303750
6/25/1981,1.778698921,1.793966664,1.778698921,1.793966664,122850
6/26/1981,1.755797744,1.77106549,1.744346737,1.77106549,97875
6/29/1981,1.767246962,1.771064092,1.751979227,1.755796357,62775
6/30/1981,1.763430476,1.771064345,1.759613345,1.767247214,201150
7/1/1981,1.763430476,1.763430476,1.755796608,1.763430476,621675
7/2/1981,1.751980186,1.763431189,1.744346314,1.763431189,172125
7/6/1981,1.687091112,1.736711445,1.687091112,1.736711445,158625
7/7/1981,1.652739048,1.7252608,1.648921917,1.687091457,255825
7/8/1981,1.67945683,1.68327396,1.652738495,1.652738495,122175
7/9/1981,1.725260854,1.732894723,1.683274575,1.683274575,93825
7/10/1981,1.706176996,1.717627805,1.687092315,1.717627805,168750
7/13/1981,1.668006778,1.702359187,1.664189647,1.702359187,185625
7/14/1981,1.629836798,1.671823265,1.610752227,1.668006528,546750
7/15/1981,1.664190769,1.687092587,1.610753555,1.629838141,261225
7/16/1981,1.645104766,1.671823403,1.626020096,1.664189534,274050
7/17/1981,1.648922205,1.664189945,1.629837333,1.645105172,209925
7/20/1981,1.610752583,1.637471125,1.610752583,1.637471125,184275
7/21/1981,1.595484495,1.610752329,1.587850627,1.610752329,110700
7/22/1981,1.595484495,1.641287899,1.591667463,1.595484495,146475
7/23/1981,1.599301815,1.603118848,1.564949401,1.59548488,148500
7/24/1981,1.626019955,1.645104623,1.59930132,1.59930132,199800
7/27/1981,1.648922205,1.656556075,1.626020497,1.626020497,93825
7/28/1981,1.626019955,1.641287788,1.618386087,1.641287788,54000
7/29/1981,1.633654237,1.641288106,1.62602027,1.62602027,51300
7/30/1981,1.626019955,1.626019955,1.61075222,1.626019955,51975
7/31/1981,1.633654237,1.633654237,1.62602027,1.62602027,31725
8/3/1981,1.603118777,1.633654353,1.58785094,1.633654353,231525
8/4/1981,1.55349791,1.614569046,1.538230176,1.603118343,189000
8/5/1981,1.587851167,1.591668004,1.553498553,1.553498553,189000
8/6/1981,1.603118777,1.603118777,1.58785094,1.58785094,82350
8/7/1981,1.614569426,1.618386458,1.599301687,1.60311872,160650
8/10/1981,1.618386745,1.626020616,1.610752875,1.614569712,53325
8/11/1981,1.656555414,1.664189281,1.622202816,1.622202816,141075
8/12/1981,1.67945683,1.698541692,1.675640094,1.675640094,305100
8/13/1981,1.687091112,1.694724979,1.675640312,1.679457048,37800
8/14/1981,1.702358842,1.702358842,1.679457044,1.687091108,74250
8/17/1981,1.652739048,1.694725326,1.648921917,1.694725326,180225
8/18/1981,1.626019955,1.652738786,1.626019955,1.652738786,97200
8/19/1981,1.614569426,1.626020328,1.606935556,1.626020328,54675
8/20/1981,1.633654237,1.645104942,1.606935499,1.614569368,30375
8/21/1981,1.626019955,1.626019955,1.618386087,1.626019955,43875
8/24/1981,1.587851167,1.626020618,1.587851167,1.626020618,153900
8/25/1981,1.55731535,1.561132186,1.526779577,1.561132186,124875
8/26/1981,1.561132431,1.564949563,1.549681723,1.557315594,45225
8/27/1981,1.564949155,1.568765991,1.549681319,1.561132024,13500
8/28/1981,1.587851167,1.595485037,1.557315586,1.564949555,45900
8/31/1981,1.576399922,1.599301627,1.561132086,1.587850824,213975
9/1/1981,1.564949155,1.580216892,1.549681319,1.576399859,141075
9/2/1981,1.564949155,1.564949155,1.553498155,1.564949155,18900
9/3/1981,1.496244311,1.572583409,1.496244311,1.564949539,81675
9/4/1981,1.484793782,1.49624459,1.458075034,1.49624459,78975
9/8/1981,1.461892247,1.484793864,1.461892247,1.484793864,151875
9/9/1981,1.435173154,1.442807024,1.427539283,1.442807024,78300
9/10/1981,1.480976462,1.484793496,1.446624046,1.446624046,224775
9/11/1981,1.542047381,1.542047381,1.458074525,1.480976231,498825
9/14/1981,1.526779771,1.534413739,1.488610321,1.534413739,224775
9/15/1981,1.519146442,1.54204816,1.503878696,1.526780315,638550
9/16/1981,1.522963166,1.530597136,1.519146132,1.519146132,128250
9/17/1981,1.496244311,1.542047632,1.492427376,1.522962956,633150
9/18/1981,1.526779771,1.526779771,1.496244289,1.496244289,159975
9/21/1981,1.572583556,1.576400393,1.519146065,1.526779936,232875
9/22/1981,1.542047381,1.572583153,1.542047381,1.572583153,347625
9/23/1981,1.542047381,1.542047381,1.480976231,1.542047381,162000
9/24/1981,1.522963166,1.564949754,1.519146132,1.542047845,228825
9/25/1981,1.522963166,1.522963166,1.465708933,1.522963166,1233900
9/28/1981,1.500061512,1.511512221,1.469525928,1.511512221,419175
9/29/1981,1.507695198,1.515329068,1.488610326,1.500061328,329400
9/30/1981,1.507695198,1.515329068,1.496244294,1.507695198,209250
10/1/1981,1.542047381,1.542047381,1.503877937,1.50769497,154575
10/2/1981,1.580217838,1.595485585,1.549682247,1.549682247,500850
10/5/1981,1.595484495,1.618386197,1.595484495,1.595484495,105300
10/6/1981,1.591668129,1.60693597,1.572583549,1.595485163,137700
10/7/1981,1.618386745,1.622203582,1.584034131,1.591668002,58050
10/8/1981,1.67182374,1.687091676,1.62983726,1.62983726,147825
10/9/1981,1.702358842,1.709992709,1.690908041,1.690908041,406350
10/12/1981,1.698542953,1.70999376,1.698542953,1.702359888,99225
10/13/1981,1.721444249,1.732894857,1.698542444,1.698542444,125550
10/14/1981,1.694725752,1.717627364,1.694725752,1.717627364,257850
10/15/1981,1.687091112,1.702358846,1.675640312,1.694724979,417825
10/16/1981,1.67182374,1.702359415,1.67182374,1.687091676,111375
10/19/1981,1.664190769,1.671824643,1.660374029,1.671824643,57375
10/20/1981,1.656555414,1.664189281,1.648921547,1.664189281,32400
10/21/1981,1.637471318,1.648922222,1.637471318,1.648922222,47925
10/22/1981,1.626019955,1.62983679,1.61075222,1.62983679,112725
10/23/1981,1.633654237,1.637471073,1.622203237,1.62602027,62775
10/26/1981,1.648922205,1.648922205,1.618386627,1.633654465,60750
